work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,AI Engineer,202730.0,USD,202730.0,US,0,US,M
2024,SE,FT,AI Engineer,92118.0,USD,92118.0,US,0,US,M
2024,SE,FT,Data Engineer,130500.0,USD,130500.0,US,0,US,M
2024,SE,FT,Data Engineer,96000.0,USD,96000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,190000.0,USD,190000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,160000.0,USD,160000.0,US,0,US,M
2024,MI,FT,ML Engineer,400000.0,USD,400000.0,US,0,US,M
2024,MI,FT,ML Engineer,65000.0,USD,65000.0,US,0,US,M
2024,EN,FT,Data Analyst,101520.0,USD,101520.0,US,0,US,M
2024,EN,FT,Data Analyst,45864.0,USD,45864.0,US,0,US,M
2024,SE,FT,Data Engineer,172469.0,USD,172469.0,US,0,US,M
2024,SE,FT,Data Engineer,114945.0,USD,114945.0,US,0,US,M
2024,EX,FT,NLP Engineer,200000.0,USD,200000.0,US,0,US,M
2024,EX,FT,NLP Engineer,150000.0,USD,150000.0,US,0,US,M
2024,MI,FT,Data Scientist,156450.0,USD,156450.0,US,100,US,M
2024,MI,FT,Data Scientist,119200.0,USD,119200.0,US,100,US,M
2024,SE,FT,Data Analyst,170000.0,USD,170000.0,US,0,US,M
2024,SE,FT,Data Analyst,130000.0,USD,130000.0,US,0,US,M
2024,SE,FT,Applied Scientist,222200.0,USD,222200.0,US,0,US,L
2024,SE,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L
2024,MI,FT,Data Manager,128000.0,USD,128000.0,US,0,US,M
2024,MI,FT,Data Manager,81500.0,USD,81500.0,US,0,US,M
2024,SE,FT,Data Architect,93838.0,USD,93838.0,US,0,US,M
2024,SE,FT,Data Architect,69535.0,USD,69535.0,US,0,US,M
2024,EN,FT,Data Analyst,75000.0,USD,75000.0,US,0,US,M
2024,EN,FT,Data Analyst,65000.0,USD,65000.0,US,0,US,M
2024,MI,FT,Data Operations Manager,150000.0,USD,150000.0,US,0,US,M
2024,MI,FT,Data Operations Manager,125000.0,USD,125000.0,US,0,US,M
2024,MI,FT,Research Scientist,260570.0,USD,260570.0,US,0,US,M
2024,MI,FT,Research Scientist,167030.0,USD,167030.0,US,0,US,M
2024,EN,FT,Data Engineer,120000.0,USD,120000.0,US,0,US,M
2024,EN,FT,Data Engineer,100000.0,USD,100000.0,US,0,US,M
2024,SE,FT,Data Engineer,190000.0,USD,190000.0,US,100,US,M
2024,SE,FT,Data Engineer,155000.0,USD,155000.0,US,100,US,M
2024,SE,FT,Data Analyst,174000.0,USD,174000.0,US,100,US,M
2024,SE,FT,Data Analyst,116000.0,USD,116000.0,US,100,US,M
2024,MI,FT,Data Analyst,100000.0,USD,100000.0,US,0,US,M
2024,MI,FT,Data Analyst,80000.0,USD,80000.0,US,0,US,M
2024,MI,FT,Data Analyst,145000.0,USD,145000.0,US,0,US,M
2024,MI,FT,Data Analyst,95000.0,USD,95000.0,US,0,US,M
2024,MI,FT,Data Scientist,120000.0,USD,120000.0,AU,0,AU,S
2024,MI,FT,Data Scientist,70000.0,USD,70000.0,AU,0,AU,S
2024,MI,CT,Data Scientist,130000.0,USD,130000.0,US,0,US,M
2024,MI,CT,Data Scientist,110000.0,USD,110000.0,US,0,US,M
2024,MI,FT,Data Science Manager,240000.0,USD,240000.0,US,0,US,M
2024,MI,FT,Data Science Manager,180000.0,USD,180000.0,US,0,US,M
2024,SE,FT,Business Intelligence Engineer,202800.0,USD,202800.0,US,0,US,M
2024,SE,FT,Business Intelligence Engineer,115000.0,USD,115000.0,US,0,US,M
2024,SE,FT,Data Architect,80000.0,GBP,100000.0,GB,0,GB,M
2024,SE,FT,Data Architect,45000.0,GBP,56250.0,GB,0,GB,M
2024,SE,FT,Data Analyst,90000.0,CAD,69230.0,CA,0,CA,M
2024,SE,FT,Data Analyst,75000.0,CAD,57692.0,CA,0,CA,M
2024,MI,FT,Data Analyst,112300.0,USD,112300.0,US,0,US,M
2024,MI,FT,Data Analyst,75100.0,USD,75100.0,US,0,US,M
2024,MI,FT,Business Intelligence,178200.0,USD,178200.0,US,0,US,M
2024,MI,FT,Business Intelligence,87000.0,USD,87000.0,US,0,US,M
2024,SE,FT,Data Scientist,138000.0,USD,138000.0,CA,0,CA,M
2024,SE,FT,Data Scientist,72000.0,USD,72000.0,CA,0,CA,M
2024,MI,FT,ML Engineer,252000.0,USD,252000.0,US,0,US,M
2024,MI,FT,ML Engineer,168000.0,USD,168000.0,US,0,US,M
2024,SE,FT,Data Modeler,140000.0,USD,140000.0,US,100,US,M
2024,SE,FT,Data Modeler,130000.0,USD,130000.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,190000.0,USD,190000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,100000.0,USD,100000.0,US,0,US,M
2024,MI,FT,Data Scientist,150650.0,USD,150650.0,US,0,US,M
2024,MI,FT,Data Scientist,106700.0,USD,106700.0,US,0,US,M
2024,SE,FT,Data Scientist,192300.0,USD,192300.0,US,0,US,M
2024,SE,FT,Data Scientist,107900.0,USD,107900.0,US,0,US,M
2024,MI,FT,Data Integration Specialist,115000.0,USD,115000.0,US,100,US,M
2024,MI,FT,Data Integration Specialist,95500.0,USD,95500.0,US,100,US,M
2024,MI,FT,Research Scientist,195000.0,USD,195000.0,US,100,US,M
2024,MI,FT,Research Scientist,160000.0,USD,160000.0,US,100,US,M
2024,SE,FT,Data Scientist,257600.0,USD,257600.0,US,0,US,M
2024,SE,FT,Data Scientist,146000.0,USD,146000.0,US,0,US,M
2024,EN,FT,Data Analyst,90000.0,USD,90000.0,CA,0,CA,M
2024,EN,FT,Data Analyst,70000.0,USD,70000.0,CA,0,CA,M
2024,SE,FT,Machine Learning Engineer,110000.0,EUR,122222.0,NL,100,NL,S
2024,SE,FT,Machine Learning Engineer,70000.0,EUR,77777.0,NL,100,NL,S
2024,SE,FT,Data Engineer,158200.0,USD,158200.0,US,0,US,M
2024,SE,FT,Data Engineer,74100.0,USD,74100.0,US,0,US,M
2024,SE,FT,Data Engineer,231400.0,USD,231400.0,US,0,US,M
2024,SE,FT,Data Engineer,170955.0,USD,170955.0,US,0,US,M
2024,MI,FT,Data Engineer,137000.0,USD,137000.0,US,0,US,M
2024,MI,FT,Data Engineer,60300.0,USD,60300.0,US,0,US,M
2024,MI,FT,Data Analyst,101098.0,USD,101098.0,US,0,US,M
2024,MI,FT,Data Analyst,59469.0,USD,59469.0,US,0,US,M
2024,MI,FT,Data Product Manager,166363.0,USD,166363.0,US,0,US,M
2024,MI,FT,Data Product Manager,103977.0,USD,103977.0,US,0,US,M
2024,SE,FT,Data Manager,166000.0,USD,166000.0,US,0,US,M
2024,SE,FT,Data Manager,104000.0,USD,104000.0,US,0,US,M
2024,SE,FT,Research Scientist,170400.0,USD,170400.0,US,0,US,M
2024,SE,FT,Research Scientist,123800.0,USD,123800.0,US,0,US,M
2024,MI,FT,Data Visualization Specialist,94763.0,USD,94763.0,US,100,US,M
2024,MI,FT,Data Visualization Specialist,67750.0,USD,67750.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,251250.0,USD,251250.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,120750.0,USD,120750.0,US,0,US,M
2024,MI,FT,Data Analyst,30000.0,EUR,33333.0,LT,0,LT,M
2024,MI,FT,Data Analyst,25800.0,EUR,28666.0,LT,0,LT,M
2024,SE,FT,Data Scientist,189615.0,USD,189615.0,US,0,US,M
2024,SE,FT,Data Scientist,150385.0,USD,150385.0,US,0,US,M
2024,SE,FT,Data Science,283800.0,USD,283800.0,US,0,US,M
2024,SE,FT,Data Science,234700.0,USD,234700.0,US,0,US,M
2024,MI,FT,Data Scientist,109000.0,USD,109000.0,US,100,US,M
2024,MI,FT,Data Scientist,93000.0,USD,93000.0,US,100,US,M
2024,MI,FT,Data Scientist,164000.0,USD,164000.0,US,0,US,M
2024,MI,FT,Data Scientist,131000.0,USD,131000.0,US,0,US,M
2024,MI,FT,Data Specialist,45607.0,GBP,57008.0,GB,0,GB,M
2024,MI,FT,Data Specialist,30921.0,GBP,38651.0,GB,0,GB,M
2024,MI,FT,Data Analyst,55000.0,GBP,68750.0,GB,100,GB,M
2024,MI,FT,Data Analyst,45000.0,GBP,56250.0,GB,100,GB,M
2024,SE,FT,Business Intelligence Lead,144300.0,USD,144300.0,US,0,US,M
2024,SE,FT,Business Intelligence Lead,104800.0,USD,104800.0,US,0,US,M
2024,SE,FT,Data Engineer,212750.0,USD,212750.0,US,0,US,M
2024,SE,FT,Data Engineer,157250.0,USD,157250.0,US,0,US,M
2024,EN,FT,Data Analyst,150000.0,USD,150000.0,US,100,US,M
2024,EN,FT,Data Analyst,129200.0,USD,129200.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,265000.0,USD,265000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,170000.0,USD,170000.0,US,0,US,M
2024,SE,FT,Data Scientist,190000.0,USD,190000.0,US,100,US,M
2024,SE,FT,Data Scientist,155000.0,USD,155000.0,US,100,US,M
2024,SE,FT,Data Engineer,165000.0,USD,165000.0,US,100,US,M
2024,SE,FT,Data Engineer,100000.0,USD,100000.0,US,100,US,M
2024,MI,FT,Data Engineer,213900.0,USD,213900.0,US,100,US,M
2024,MI,FT,Data Engineer,126500.0,USD,126500.0,US,100,US,M
2024,SE,FT,Research Analyst,130000.0,USD,130000.0,US,0,US,M
2024,SE,FT,Research Analyst,104000.0,USD,104000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,225000.0,USD,225000.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,66000.0,USD,66000.0,US,100,US,M
2024,SE,FT,ML Engineer,220000.0,USD,220000.0,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,110000.0,USD,110000.0,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,85000.0,USD,85000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,282000.0,USD,282000.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,188000.0,USD,188000.0,US,100,US,M
2024,EX,FT,Data Science,219650.0,USD,219650.0,US,100,US,M
2024,EX,FT,Data Science,136000.0,USD,136000.0,US,100,US,M
2024,SE,FT,Data Science,210850.0,USD,210850.0,US,0,US,M
2024,SE,FT,Data Science,145400.0,USD,145400.0,US,0,US,M
2024,MI,FT,Data Analyst,143800.0,USD,143800.0,US,100,US,M
2024,MI,FT,Data Analyst,106300.0,USD,106300.0,US,100,US,M
2024,MI,FT,AI Engineer,150000.0,USD,150000.0,US,100,US,M
2024,MI,FT,AI Engineer,90200.0,USD,90200.0,US,100,US,M
2024,MI,FT,Data Engineer,140000.0,USD,140000.0,US,0,US,M
2024,MI,FT,Data Engineer,110000.0,USD,110000.0,US,0,US,M
2024,SE,FT,Data Analyst,140000.0,USD,140000.0,US,100,US,M
2024,SE,FT,Data Analyst,120000.0,USD,120000.0,US,100,US,M
2024,EN,PT,AI Software Engineer,800000.0,DKK,117647.0,DK,0,DK,S
2024,MI,PT,Research Scientist,138000.0,USD,138000.0,US,0,US,M
2024,MI,PT,Research Scientist,86000.0,USD,86000.0,US,0,US,M
2024,MI,FT,Data Scientist,199700.0,USD,199700.0,US,0,US,M
2024,MI,FT,Data Scientist,70800.0,USD,70800.0,US,0,US,M
2024,SE,FT,Research Analyst,175000.0,USD,175000.0,US,0,US,M
2024,SE,FT,Research Analyst,130000.0,USD,130000.0,US,0,US,M
2024,SE,FT,Data Architect,169847.0,USD,169847.0,US,100,US,M
2024,SE,FT,Data Architect,131631.0,USD,131631.0,US,100,US,M
2024,SE,FT,Machine Learning Scientist,277000.0,USD,277000.0,US,0,US,M
2024,SE,FT,Machine Learning Scientist,173000.0,USD,173000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,264500.0,USD,264500.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,165600.0,USD,165600.0,US,100,US,M
2024,SE,FT,Business Intelligence,194000.0,USD,194000.0,US,100,US,M
2024,SE,FT,Business Intelligence,168000.0,USD,168000.0,US,100,US,M
2024,MI,FT,Data Engineer,90000.0,USD,90000.0,US,0,US,M
2024,MI,FT,Data Engineer,70000.0,USD,70000.0,US,0,US,M
2024,EN,FT,Data Scientist,137000.0,USD,137000.0,US,0,US,M
2024,EN,FT,Data Scientist,60400.0,USD,60400.0,US,0,US,M
2024,EX,FT,Data Science,197689.0,USD,197689.0,US,0,US,M
2024,EX,FT,Data Science,152311.0,USD,152311.0,US,0,US,M
2024,EX,FT,Research Analyst,209500.0,USD,209500.0,US,0,US,M
2024,EX,FT,Research Analyst,147500.0,USD,147500.0,US,0,US,M
2024,SE,FT,Data Engineer,170000.0,USD,170000.0,US,100,US,M
2024,SE,FT,Data Engineer,146000.0,USD,146000.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,220600.0,USD,220600.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,140100.0,USD,140100.0,US,0,US,M
2024,SE,FT,AI Engineer,236872.0,USD,236872.0,US,0,US,M
2024,SE,FT,AI Engineer,148045.0,USD,148045.0,US,0,US,M
2024,MI,FT,Data Science Engineer,143896.0,USD,143896.0,US,0,US,M
2024,MI,FT,Data Science Engineer,99208.0,USD,99208.0,US,0,US,M
2024,SE,FT,Applied Scientist,250000.0,USD,250000.0,US,0,US,M
2024,SE,FT,Applied Scientist,160000.0,USD,160000.0,US,0,US,M
2024,SE,FT,ML Engineer,200000.0,USD,200000.0,US,0,US,M
2024,SE,FT,ML Engineer,25000.0,USD,25000.0,US,0,US,M
2024,SE,FT,Data Engineer,137500.0,USD,137500.0,US,0,US,M
2024,SE,FT,Data Engineer,81500.0,USD,81500.0,US,0,US,M
2024,EX,FT,Data Science,209700.0,USD,209700.0,US,0,US,M
2024,EX,FT,Data Science,161300.0,USD,161300.0,US,0,US,M
2024,SE,FT,Data Scientist,249000.0,USD,249000.0,US,0,US,M
2024,SE,FT,Data Scientist,216000.0,USD,216000.0,US,0,US,M
2024,SE,FT,Data Engineer,170040.0,USD,170040.0,US,0,US,M
2024,SE,FT,Data Engineer,113360.0,USD,113360.0,US,0,US,M
2024,MI,FT,Machine Learning Operations Engineer,178250.0,USD,178250.0,US,0,US,M
2024,MI,FT,Machine Learning Operations Engineer,110500.0,USD,110500.0,US,0,US,M
2024,EN,FT,Data Analyst,83300.0,USD,83300.0,US,0,US,M
2024,EN,FT,Data Analyst,47500.0,USD,47500.0,US,0,US,M
2024,SE,FT,Data Scientist,200000.0,USD,200000.0,US,100,US,M
2024,SE,FT,Data Scientist,148500.0,USD,148500.0,US,100,US,M
2024,SE,FT,Data Architect,138000.0,USD,138000.0,US,0,US,M
2024,SE,FT,Data Architect,120000.0,USD,120000.0,US,0,US,M
2024,SE,FT,Research Scientist,250000.0,USD,250000.0,US,0,US,M
2024,SE,FT,Research Scientist,200000.0,USD,200000.0,US,0,US,M
2024,SE,FT,Data Engineer,110000.0,USD,110000.0,US,100,US,M
2024,SE,FT,Data Engineer,90000.0,USD,90000.0,US,100,US,M
2024,MI,FT,Data Engineer,142000.0,USD,142000.0,US,100,US,M
2024,MI,FT,Data Engineer,129500.0,USD,129500.0,US,100,US,M
2024,MI,FT,Data Product Manager,210554.0,USD,210554.0,US,0,US,M
2024,MI,FT,Data Product Manager,131596.0,USD,131596.0,US,0,US,M
2024,SE,FT,Data Engineer,170000.0,USD,170000.0,US,0,US,M
2024,SE,FT,Data Engineer,130000.0,USD,130000.0,US,0,US,M
2024,SE,FT,Data Engineer,159550.0,USD,159550.0,US,0,US,M
2024,SE,FT,Data Engineer,113000.0,USD,113000.0,US,0,US,M
2024,MI,FT,Data Engineer,135000.0,USD,135000.0,US,0,US,M
2024,MI,FT,Data Engineer,100000.0,USD,100000.0,US,0,US,M
2024,MI,FT,Machine Learning Engineer,245400.0,USD,245400.0,US,0,US,M
2024,MI,FT,Machine Learning Engineer,139000.0,USD,139000.0,US,0,US,M
2024,SE,FT,Data Engineer,190000.0,USD,190000.0,US,0,US,M
