work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024.0,SE,FT,AI Engineer,202730.0,USD,202730.0,US,0,US,M
2024.0,SE,FT,AI Engineer,92118.0,USD,92118.0,US,0,US,M
2024.0,SE,FT,Data Engineer,130500.0,USD,130500.0,US,0,US,M
2024.0,SE,FT,Data Engineer,96000.0,USD,96000.0,US,0,US,M
2024.0,SE,FT,Machine Learning Engineer,190000.0,USD,190000.0,US,0,US,M
2024.0,SE,FT,Machine Learning Engineer,160000.0,USD,160000.0,US,0,US,M
2024.0,MI,FT,ML Engineer,400000.0,USD,400000.0,US,0,US,M
2024.0,MI,FT,ML Engineer,65000.0,USD,65000.0,US,0,US,M
2024.0,EN,FT,Data Analyst,101520.0,USD,101520.0,US,0,US,M
2024.0,EN,FT,Data Analyst,45864.0,USD,45864.0,US,0,US,M
2024.0,SE,FT,Data Engineer,172469.0,USD,172469.0,US,0,US,M
2024.0,SE,FT,Data Engineer,114945.0,USD,114945.0,US,0,US,M
2024.0,EX,FT,NLP Engineer,200000.0,USD,200000.0,US,0,US,M
2024.0,EX,FT,NLP Engineer,150000.0,USD,150000.0,US,0,US,M
2024.0,MI,FT,Data Scientist,156450.0,USD,156450.0,US,100,US,M
2024.0,MI,FT,Data Scientist,119200.0,USD,119200.0,US,100,US,M
2024.0,SE,FT,Data Analyst,170000.0,USD,170000.0,US,0,US,M
2024.0,SE,FT,Data Analyst,130000.0,USD,130000.0,US,0,US,M
2024.0,SE,FT,Applied Scientist,222200.0,USD,222200.0,US,0,US,L
2024.0,SE,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L
2024.0,MI,FT,Data Manager,128000.0,USD,128000.0,US,0,US,M
2024.0,MI,FT,Data Manager,81500.0,USD,81500.0,US,0,US,M
2024.0,SE,FT,Data Architect,93838.0,USD,93838.0,US,0,US,M
2024.0,SE,FT,Data Architect,69535.0,USD,69535.0,US,0,US,M
2024.0,EN,FT,Data Analyst,75000.0,USD,75000.0,US,0,US,M
2024.0,EN,FT,Data Analyst,65000.0,USD,65000.0,US,0,US,M
2024.0,MI,FT,Data Operations Manager,150000.0,USD,150000.0,US,0,US,M
2024.0,MI,FT,Data Operations Manager,125000.0,USD,125000.0,US,0,US,M
2024.0,MI,FT,Research Scientist,260570.0,USD,260570.0,US,0,US,M
2024.0,MI,FT,Research Scientist,167030.0,USD,167030.0,US,0,US,M
2024.0,EN,FT,Data Engineer,120000.0,USD,120000.0,US,0,US,M
